Date,Description,Amount,Bank
2025-09-30,spotify-spotify,-59.99,papara
2025-09-26,chatgpt-openai *chatgpt subscr,-1047.4,papara
2025-09-26,trendyol-param/trendyol,-426.99,papara
2025-09-24,app store-apple.com/bill,-49.99,papara
2025-09-23,"technology-supermaven, inc.",-435.83,papara
2025-09-20,app store-apple.com/bill,-249.99,papara
2025-09-19,paycell-paycell/csi3dtlyukleme3,-560.0,papara
2025-09-15,chatgpt-openai *chatgpt subscr,-1043.27,papara
2025-09-15,microsoft xbox game pass ultimate-microsoft*ultimate 1 mo,-309.0,papara
2025-09-13,trendyol-param/trendyol,-500.9,papara
2025-09-11,telecommunications-cellfie,-97.74,papara
2025-09-10,app store-apple.com/bill,-24.99,papara
2025-09-07,trendyol-param/trendyol,-919.53,papara
2025-09-02,türk telekom tl yükleme-avea web sitesi kontor sa,-450.0,papara
2025-09-02,karyna shten-,-7000.0,papara
2025-08-31,spotify-spotify,-59.99,papara
2025-08-27,trendyol-trendyol 1p posu,-75.0,papara
2025-08-26,chatgpt-openai *chatgpt subscr,-1034.96,papara
2025-08-24,cognition labs-cognition labs (devin),-862.6,papara
2025-08-24,app store-apple.com/bill,-49.99,papara
2025-08-23,"technology-supermaven, inc.",-431.3,papara
2025-08-23,steam-steamgames.com 42595229,-430.87,papara
2025-08-22,kentkart-kentkart ulasim bedeli,-210.0,papara
2025-08-21,karyna shten-,-750.0,papara
2025-08-21,paycell-paycell/csi3dtlyukleme3,-560.0,papara
2025-08-20,app store-apple.com/bill,-249.99,papara
2025-08-19,karyna shten-,-750.0,papara
2025-08-15,chatgpt-openai *chatgpt subscr,-1030.42,papara
2025-08-15,microsoft xbox game pass ultimate-microsoft*ultimate 1 mo,-309.0,papara
2025-08-10,app store-apple.com/bill,-24.99,papara
2025-08-06,antalya kart-toplu tasima gecis ucr,-33.0,papara
2025-08-06,trendyol-param/trendyol,-219.9,papara
2025-08-05,karyna shten-,-6500.0,papara
2025-07-31,spotify-spotify,-59.99,papara
2025-07-27,trendyol-param/trendyol,-303.0,papara
2025-07-23,"technology-supermaven, inc.",-424.77,papara
2025-07-23,paycell-paycell/csi3dtlyukleme3,-560.0,papara
2025-07-22,kentkart-kentkart ulasim bedeli,-210.0,papara
2025-07-20,app store-apple.com/bill,-249.99,papara
2025-07-19,kentkart-kentkart ulasim bedeli,-210.0,papara
2025-07-15,chatgpt-openai *chatgpt subscr,-1016.74,papara
2025-07-15,microsoft xbox game pass ultimate-microsoft*ultimate 1 mo,-309.0,papara
2025-07-14,app store-apple.com/bill,-49.99,papara
2025-07-12,app store-apple.com/bill,-24.99,papara
2025-07-12,türk telekom tl yükleme-avea web sitesi kontor sa,-250.0,papara
2025-07-12,karyna shten-,-6000.0,papara
2025-07-12,kentkart-kentkart ulasim bedeli,-210.0,papara
2025-07-05,app store-apple.com/bill,-199.99,papara
2025-07-02,trendyol-param/trendyol,-254.9,papara
2025-07-01,bookstore & stationery-training for comics,-3733.16,papara
2025-06-30,tavuk dunyasi liman,-905.0,ish
2025-06-30,migros,-851.8,ish
2025-07-01,migros,-65.23,ish
2025-07-02,migros,-2660.71,ish
2025-07-03,kafkas argin,-60.0,ish
2025-07-03,v gurme li̇man,-1337.5,ish
2025-07-03,tavuk dunyasi,-690.0,ish
2025-07-04,hanife selen ozsuslu,-999.0,ish
2025-07-04,migros,-1021.49,ish
2025-07-04,bi̇ri̇m avm,-101.5,ish
2025-07-04,file uncali / konyaalti,-698.8,ish
2025-07-22,migros,-1500.0,ish
2025-07-22,tavuk dunyasi,-735.0,ish
2025-07-23,file hurma / konyaalti,-416.4,ish
2025-07-23,migros,-1898.81,ish
2025-07-25,bi̇ri̇m avm,-478.0,ish
2025-07-25,file uncali / konyaalti,-607.1,ish
2025-07-26,migros,-620.33,ish
2025-07-27,file hurma / konyaalti,-1275.7,ish
2025-07-27,file hurma / konyaalti,-193.0,ish
